batch,heads,seqlen,head_dim,causal,precision,status,measured_runtime_ms,measured_runtime_std_ms,measured_bottleneck,error
4,32,4096,128,True,fp16,ok,0.4886400103569031,0.003127610707275591,unknown,
4,32,4096,128,True,fp8,ok,0.4391680061817169,0.002798420199291702,unknown,
4,32,4096,128,False,bf16,ok,0.9528639912605286,0.004491109606188164,unknown,
4,32,4096,128,False,fp16,ok,0.9832000136375427,0.007748123897375706,unknown,
4,32,4096,128,False,fp8,ok,0.683135986328125,0.00455592750987995,unknown,
4,32,8192,64,True,bf16,ok,1.3946559429168701,0.0033386337465113386,unknown,
4,32,8192,64,True,fp16,ok,1.3895039558410645,0.00522808354455591,unknown,
4,32,8192,64,True,fp8,ok,1.3731839656829834,0.001932814878161308,unknown,
4,32,8192,64,False,bf16,ok,3.079616069793701,0.01894901903475725,unknown,
4,32,8192,64,False,fp16,ok,3.061568021774292,0.006645052304371301,unknown,
4,32,8192,64,False,fp8,ok,2.418720006942749,0.0017557859600457139,unknown,
4,32,8192,128,True,bf16,ok,1.6075520515441895,0.003317171148002955,unknown,
4,32,8192,128,True,fp16,ok,1.6584320068359375,0.004522441007253691,unknown,
4,32,8192,128,True,fp8,ok,1.4044480323791504,0.012930705711147392,unknown,
4,32,8192,128,False,bf16,ok,3.662559986114502,0.09322171241562065,unknown,
4,32,8192,128,False,fp16,ok,4.036479949951172,0.06770162422238885,unknown,
4,32,8192,128,False,fp8,ok,2.962048053741455,0.1414491333916069,unknown,
4,32,16384,64,True,bf16,ok,5.155231952667236,0.06635657362101165,unknown,
4,32,16384,64,True,fp16,ok,5.264480113983154,0.09635656136212774,unknown,
4,32,16384,64,True,fp8,ok,5.100895881652832,0.09418041462594798,unknown,
4,32,16384,64,False,bf16,ok,11.993663787841797,0.007239094041364159,unknown,
4,32,16384,64,False,fp16,ok,11.992480278015137,0.005701774500062889,unknown,
4,32,16384,64,False,fp8,ok,9.436544418334961,0.005281278980166092,unknown,
4,32,16384,128,True,bf16,ok,6.539519786834717,0.3877446156067105,unknown,
4,32,16384,128,True,fp16,ok,6.594944000244141,0.21003234884604663,unknown,
4,32,16384,128,True,fp8,ok,5.468992233276367,0.5129634957743315,unknown,
4,32,16384,128,False,bf16,ok,15.723551750183105,0.13237375466095033,unknown,
4,32,16384,128,False,fp16,ok,16.093599319458008,0.1317171715869546,unknown,
4,32,16384,128,False,fp8,ok,10.00931167602539,0.14502227628319775,unknown,
4,64,1024,64,True,bf16,ok,0.13708800077438354,0.002357446935917892,unknown,
4,64,1024,64,True,fp16,ok,0.1385599970817566,0.00599751239501658,unknown,
4,64,1024,64,True,fp8,ok,0.13523200154304504,0.0020687946262756027,unknown,
4,64,1024,64,False,bf16,ok,0.15936000645160675,0.0016022082174955705,unknown,
4,64,1024,64,False,fp16,ok,0.1600320041179657,0.002124209279895297,unknown,
4,64,1024,64,False,fp8,ok,0.14396800100803375,0.0044947872603351285,unknown,
4,64,1024,128,True,bf16,ok,0.16732800006866455,0.021498773413005504,unknown,
4,64,1024,128,True,fp16,ok,0.14771200716495514,0.0025329147610341535,unknown,
4,64,1024,128,True,fp8,ok,0.14505599439144135,0.0021682691624170126,unknown,
4,64,1024,128,False,bf16,ok,0.18332800269126892,0.005159993523668798,unknown,
4,64,1024,128,False,fp16,ok,0.18371200561523438,0.0018927138469376102,unknown,
4,64,1024,128,False,fp8,ok,0.15107199549674988,0.004410708519353802,unknown,
4,64,2048,64,True,bf16,ok,0.28963199257850647,0.002512811481089263,unknown,
4,64,2048,64,True,fp16,ok,0.2906560003757477,0.0019104571874726133,unknown,
4,64,2048,64,True,fp8,ok,0.286655992269516,0.0030414994359632876,unknown,
4,64,2048,64,False,bf16,ok,0.44358399510383606,0.0033535049596086415,unknown,
4,64,2048,64,False,fp16,ok,0.4437440037727356,0.00401717954295923,unknown,
4,64,2048,64,False,fp8,ok,0.3680639863014221,0.004178756102213377,unknown,
4,64,2048,128,True,bf16,ok,0.31494399905204773,0.003786442688774931,unknown,
4,64,2048,128,True,fp16,ok,0.316895991563797,0.0032758821971841565,unknown,
4,64,2048,128,True,fp8,ok,0.2990719974040985,0.002163018923156573,unknown,
4,64,2048,128,False,bf16,ok,0.5237119793891907,0.008638640661520864,unknown,
4,64,2048,128,False,fp16,ok,0.5295040011405945,0.0034081143784654207,unknown,
4,64,2048,128,False,fp8,ok,0.37801599502563477,0.004668679263332373,unknown,
4,64,4096,64,True,bf16,ok,0.8027200102806091,0.0056320974010815915,unknown,
4,64,4096,64,True,fp16,ok,0.8055679798126221,0.002979748943122966,unknown,
4,64,4096,64,True,fp8,ok,0.7963839769363403,0.006991302169089639,unknown,
4,64,4096,64,False,bf16,ok,1.5661439895629883,0.0054306350210976875,unknown,
4,64,4096,64,False,fp16,ok,1.5645439624786377,0.0038943569124158302,unknown,
4,64,4096,64,False,fp8,ok,1.253440022468567,0.0013138939257357313,unknown,
